zone_code,zone_name,departamento,camas_hospitalarias,tasa_mortalidad_infantil,esperanza_vida
11001,Usaquén,Bogota D.C.,5.8,6.2,79.2
11002,Chapinero,Bogota D.C.,15.4,4.5,80.5
11003,Santa Fe,Bogota D.C.,8.9,9.5,76.8
11004,San Cristóbal,Bogota D.C.,2.1,11.2,75.1
11005,Usme,Bogota D.C.,0.9,13.5,73.8
11006,Tunjuelito,Bogota D.C.,4.2,8.8,77.2
11007,Bosa,Bogota D.C.,1.4,11.8,74.9
11008,Kennedy,Bogota D.C.,3.1,10.1,76.5
11009,Fontibón,Bogota D.C.,4.8,7.5,78.4
11010,Engativá,Bogota D.C.,2.8,8.1,77.9
11011,Suba,Bogota D.C.,3.5,7.8,78.2
11012,Barrios Unidos,Bogota D.C.,10.2,5.9,79.6
11013,Teusaquillo,Bogota D.C.,18.2,4.1,80.8
11014,Los Mártires,Bogota D.C.,7.5,12.2,74.2
11015,Antonio Nariño,Bogota D.C.,6.4,7.2,78.1
11016,Puente Aranda,Bogota D.C.,3.8,7.9,77.8
11017,La Candelaria,Bogota D.C.,2.5,8.5,77.0
11018,Rafael Uribe Uribe,Bogota D.C.,1.7,12.0,74.5
11019,Ciudad Bolívar,Bogota D.C.,0.8,14.1,73.2
11020,Sumapaz,Bogota D.C.,0.3,13.8,72.8
